time_sec,amplitude
0.0,0.013254
0.01,0.006478
0.02,0.015336
0.03,0.021738
0.04,-0.029317
0.05,0.004929
0.06,-0.022587
0.07,0.010202
0.08,-0.0264
0.09,-0.016398
0.1,-0.011581
0.11,-0.008918
0.12,0.022092
0.13,-0.009019
0.14,0.01129
0.15,0.012153
0.16,-0.009255
0.17,-0.008214
0.18,0.005686
0.19,0.012905
0.2,0.013103
0.21,0.006736
0.22,0.002827
0.23,-0.010641
0.24,-0.016306
0.25,0.065611
0.26,0.022803
0.27,-0.009913
0.28,0.017058
0.29,-0.002577
0.3,-0.007829
0.31,0.034505
0.32,-0.026737
0.33,0.00248
0.34,-0.004304
0.35,-0.043678
0.36,0.004991
0.37,-0.010994
0.38,0.029748
0.39,0.01081
0.4,-0.000525
0.41,0.003844
0.42,-0.011588
0.43,0.001559
0.44,-0.000315
0.45,-0.027471
0.46,-0.003354
0.47,-0.002597
0.48,-0.013718
0.49,0.00195
0.5,-0.031886
0.51,0.022033
0.52,0.031687
0.53,-0.036104
0.54,0.011819
0.55,0.005479
0.56,-0.007159
0.57,-0.013465
0.58,0.027568
0.59,-0.017119
0.6,-0.061492
0.61,-0.00759
0.62,0.037662
0.63,-0.027726
0.64,0.006313
0.65,-0.000732
0.66,-0.007914
0.67,0.002807
0.68,-0.011349
0.69,0.013849
0.7,-0.001765
0.71,-0.008031
0.72,0.005154
0.73,0.044485
0.74,0.010964
0.75,-0.006522
0.76,0.001007
0.77,-0.002736
0.78,0.014663
0.79,0.009805
0.8,0.008512
0.81,0.002618
0.82,-0.008195
0.83,-0.016795
0.84,-0.029241
0.85,0.0092
0.86,-0.022303
0.87,-0.023757
0.88,0.016141
0.89,-0.009501
0.9,0.033268
0.91,-0.002753
0.92,0.014556
0.93,-0.006064
0.94,-0.002305
0.95,-0.024498
0.96,0.00212
0.97,-0.00173
0.98,0.022605
0.99,0.006322
1.0,-0.035522
1.01,-0.024203
1.02,0.016932
1.03,0.005577
1.04,-0.019695
1.05,-0.008598
1.06,-0.046124
1.07,0.006694
1.08,-0.010193
1.09,0.003195
1.1,0.004294
1.11,-0.014698
1.12,0.017717
1.13,-0.024302
1.14,0.012404
1.15,-0.006769
1.16,0.034025
1.17,-0.000421
1.18,-0.029914
1.19,-0.006935
1.2,0.033391
1.21,0.051472
1.22,-0.030695
1.23,0.009429
1.24,0.037147
1.25,0.020745
1.26,-0.009436
1.27,0.006599
1.28,0.006061
1.29,-0.016635
1.3,0.046949
1.31,-0.008807
1.32,0.014794
1.33,0.007371
1.34,-0.008721
1.35,0.010415
1.36,-0.011927
1.37,0.006958
1.38,-0.023595
1.39,-0.014584
1.4,0.00561
1.41,0.002368
1.42,-0.024925
1.43,0.0295
1.44,0.007324
1.45,0.005551
1.46,-6.2e-05
1.47,0.00522
1.48,-0.034203
1.49,0.001292
1.5,-0.006325
1.51,-7.5e-05
1.52,-0.007543
1.53,0.030682
1.54,-0.010634
1.55,0.007625
1.56,0.002938
1.57,-0.016229
1.58,0.007866
1.59,0.004871
1.6,-0.036337
1.61,0.038046
1.62,-0.01599
1.63,-0.020909
1.64,-0.012164
1.65,0.011669
1.66,-0.002928
1.67,0.011364
1.68,-0.007645
1.69,0.003703
1.7,-0.014985
1.71,0.033464
1.72,-0.00981
1.73,0.023358
1.74,-0.030119
1.75,0.021389
1.76,-0.00579
1.77,0.011557
1.78,-0.026486
1.79,0.015617
1.8,0.002321
1.81,0.015174
1.82,0.026549
1.83,0.016511
1.84,-0.025902
1.85,0.021561
1.86,-0.008559
1.87,-0.045074
1.88,0.015051
1.89,-0.022729
1.9,0.012809
1.91,-0.002027
1.92,0.016609
1.93,-0.010762
1.94,0.004832
1.95,-0.037548
1.96,0.009549
1.97,0.036813
1.98,0.022746
1.99,0.003229
2.0,-0.008974
2.01,0.014465
2.02,0.005282
2.03,-0.011597
2.04,-0.006496
2.05,0.027476
2.06,-0.012103
2.07,-0.011257
2.08,-0.011941
2.09,0.008176
2.1,-0.026271
2.11,-0.000336
2.12,-0.029398
2.13,-0.036184
2.14,0.029836
2.15,-0.03056
2.16,-0.003108
2.17,-0.02498
2.18,-0.015229
2.19,-0.006366
2.2,-0.012269
2.21,0.001593
2.22,-0.044765
2.23,0.004984
2.24,-0.013213
2.25,-0.009224
2.26,-0.034418
2.27,-0.010805
2.28,-0.010558
2.29,0.01485
2.3,-0.005832
2.31,-0.021161
2.32,0.008306
2.33,-0.005176
2.34,0.007855
2.35,-0.020618
2.36,0.002903
2.37,0.017309
2.38,0.019634
2.39,-0.008748
2.4,-0.02464
2.41,0.006066
2.42,-0.02881
2.43,0.008307
2.44,0.013141
2.45,0.019687
2.46,-0.037831
2.47,0.017538
2.48,-0.01437
2.49,-0.032944
2.5,0.026933
2.51,0.060474
2.52,0.106904
2.53,0.119754
2.54,0.141081
2.55,0.053221
2.56,0.012246
2.57,-0.064802
2.58,-0.093498
2.59,-0.124545
2.6,-0.156169
2.61,-0.107748
2.62,-0.053916
2.63,0.059058
2.64,0.084194
2.65,0.092996
2.66,0.137715
2.67,0.072555
2.68,0.016406
2.69,-0.008923
2.7,-0.042506
2.71,-0.128618
2.72,-0.113396
2.73,-0.0979
2.74,-0.064759
2.75,0.000302
2.76,0.067342
2.77,0.093635
2.78,0.121523
2.79,0.100226
2.8,0.088296
2.81,0.035827
2.82,0.038983
2.83,-0.077926
2.84,-0.112596
2.85,-0.125219
2.86,-0.066171
2.87,-0.025432
2.88,0.015558
2.89,0.042569
2.9,0.112283
2.91,0.140096
2.92,0.126785
2.93,0.084734
2.94,-0.030933
2.95,-0.094681
2.96,-0.120396
2.97,-0.135932
2.98,-0.166598
2.99,-0.064472
3.0,0.003547
3.01,0.035469
3.02,0.081339
3.03,0.116505
3.04,0.12168
3.05,0.073016
3.06,-0.028329
3.07,-0.024611
3.08,-0.066331
3.09,-0.129876
3.1,-0.123433
3.11,-0.0465
3.12,-0.050687
3.13,-0.000101
3.14,0.099673
3.15,0.086925
3.16,0.100436
3.17,0.129478
3.18,0.075973
3.19,-0.00229
3.2,-0.059677
3.21,-0.099956
3.22,-0.090663
3.23,-0.105164
3.24,-0.078369
3.25,0.014846
3.26,0.074947
3.27,0.114733
3.28,0.107766
3.29,0.141053
3.3,0.074995
3.31,-0.013175
3.32,-0.071681
3.33,-0.110007
3.34,-0.115802
3.35,-0.101167
3.36,-0.108535
3.37,-0.026401
3.38,0.022717
3.39,0.089892
3.4,0.118183
3.41,0.135486
3.42,0.101637
3.43,0.036357
3.44,-0.01421
3.45,-0.037381
3.46,-0.106447
3.47,-0.114214
3.48,-0.12488
3.49,-0.072499
3.5,0.008958
3.51,0.018084
3.52,0.008357
3.53,0.023916
3.54,-0.024309
3.55,-0.00296
3.56,0.010877
3.57,-0.029624
3.58,-0.03128
3.59,0.03472
3.6,0.012941
3.61,-0.017503
3.62,-0.029967
3.63,0.003027
3.64,0.007883
3.65,0.02593
3.66,0.016939
3.67,0.010903
3.68,0.008919
3.69,-0.010191
3.7,-0.025471
3.71,-0.01656
3.72,0.022415
3.73,0.025861
3.74,0.005648
3.75,-0.015945
3.76,-0.00757
3.77,0.019147
3.78,0.000806
3.79,-0.003845
3.8,-0.026322
3.81,0.030701
3.82,0.021164
3.83,-0.005032
3.84,0.032859
3.85,-0.002892
3.86,0.034214
3.87,0.013942
3.88,-0.009036
3.89,0.00797
3.9,-0.013534
3.91,0.001232
3.92,-0.002762
3.93,0.002807
3.94,-0.008923
3.95,-0.024976
3.96,-0.000911
3.97,0.006965
3.98,-0.020383
3.99,0.009902
4.0,0.025113
4.01,0.029458
4.02,-0.003013
4.03,-0.024031
4.04,0.014453
4.05,-0.009172
4.06,-0.041976
4.07,0.008411
4.08,-0.023679
4.09,0.008807
4.1,-0.012068
4.11,-0.002426
4.12,-0.004028
4.13,-0.023675
4.14,0.001583
4.15,0.002166
4.16,-0.016488
4.17,-0.024874
4.18,-0.001911
4.19,0.029104
4.2,0.016276
4.21,-0.020109
4.22,0.005021
4.23,0.005433
4.24,0.012266
4.25,0.02876
4.26,0.024579
4.27,-0.004909
4.28,0.007982
4.29,-0.027883
4.3,-0.014912
4.31,0.011036
4.32,-0.006798
4.33,-0.017076
4.34,0.003472
4.35,0.004667
4.36,0.020449
4.37,-0.038154
4.38,0.00559
4.39,0.011399
4.4,0.005189
4.41,0.006612
4.42,0.010432
4.43,0.012924
4.44,-0.000737
4.45,0.009101
4.46,-0.041539
4.47,0.00783
4.48,0.003033
4.49,0.006633
4.5,0.031786
4.51,0.00113
4.52,0.007415
4.53,0.026308
4.54,0.036081
4.55,0.000111
4.56,-0.034559
4.57,-0.026992
4.58,-0.004446
4.59,-0.007233
4.6,0.012626
4.61,0.005205
4.62,0.009629
4.63,-0.030002
4.64,0.042939
4.65,0.01642
4.66,-0.009674
4.67,0.022923
4.68,-0.009404
4.69,-0.010043
4.7,0.004132
4.71,-0.023852
4.72,-0.005353
4.73,-0.011299
4.74,0.002664
4.75,0.003962
4.76,-0.004049
4.77,-0.000991
4.78,-0.016546
4.79,-0.022836
4.8,-0.013599
4.81,-0.000161
4.82,0.010699
4.83,0.019649
4.84,0.032322
4.85,0.003095
4.86,0.019338
4.87,-0.009359
4.88,-0.025337
4.89,-0.017636
4.9,0.024168
4.91,0.006145
4.92,0.015828
4.93,-0.020387
4.94,-0.002693
4.95,-0.012604
4.96,-0.040739
4.97,-0.018437
4.98,0.015154
4.99,0.005852
5.0,0.017428
