time_sec,amplitude
0.0,0.016276
0.01,0.015899
0.02,-0.011693
0.03,-0.020123
0.04,-0.004044
0.05,0.018412
0.06,-0.028378
0.07,0.00528
0.08,-0.017187
0.09,-0.025091
0.1,0.046402
0.11,-0.022365
0.12,0.018425
0.13,0.002842
0.14,0.012254
0.15,0.015085
0.16,-0.013359
0.17,0.010129
0.18,0.001806
0.19,0.000555
0.2,0.042502
0.21,0.025539
0.22,0.002736
0.23,-0.009997
0.24,-0.001309
0.25,0.000995
0.26,0.010661
0.27,0.006843
0.28,-0.034894
0.29,0.00966
0.3,0.029832
0.31,-0.040179
0.32,-0.003557
0.33,0.025981
0.34,0.01871
0.35,0.014422
0.36,0.003478
0.37,0.008723
0.38,-0.015452
0.39,-0.000573
0.4,0.007378
0.41,-0.014414
0.42,-0.01876
0.43,0.024323
0.44,0.007679
0.45,-0.009656
0.46,0.007411
0.47,0.014557
0.48,0.005694
0.49,-0.020905
0.5,0.006586
0.51,0.029632
0.52,0.003382
0.53,0.021018
0.54,-0.004429
0.55,-0.04295
0.56,0.004213
0.57,-0.021674
0.58,-0.030257
0.59,-0.03257
0.6,0.010234
0.61,-0.011187
0.62,-0.016185
0.63,0.028188
0.64,-0.005732
0.65,-0.027552
0.66,0.001967
0.67,-0.006772
0.68,0.006271
0.69,-0.020801
0.7,-0.000167
0.71,0.015792
0.72,1.6e-05
0.73,0.043572
0.74,0.023846
0.75,0.009068
0.76,-0.00809
0.77,0.056406
0.78,-0.007568
0.79,-0.003526
0.8,-0.009352
0.81,0.028124
0.82,-0.007097
0.83,-0.018187
0.84,0.017806
0.85,0.016004
0.86,-0.025379
0.87,-0.019274
0.88,0.020636
0.89,-0.004739
0.9,-0.012625
0.91,-0.0141
0.92,0.000604
0.93,-0.00087
0.94,0.013373
0.95,-0.000212
0.96,0.005794
0.97,-0.010744
0.98,-0.004977
0.99,0.019914
1.0,-0.026641
1.01,0.025211
1.02,0.001023
1.03,0.001342
1.04,0.007588
1.05,-0.014511
1.06,-0.000573
1.07,0.022746
1.08,-0.029171
1.09,-0.021362
